W3.ID,City/Region (S6.1),State/Province,State/Country (S6.2),Year (S8.2),Country Population,Population Million,Climate Pattern,Precipitation ,Temperature C ,Area (km2),Pop. Density,Household Size ,Urbanization (%),Expense (% of GDP),Unemployment (%),Age (15-64) %,Age (65+) %,Per Capita Energy Demand ,Energy Demand  (Million kWh) ,Country GDP/Capita 2015 $ ,Service,Service GDP%,Education Index (HDI) ,Sustainability Index,Waste Regulations 
62,Jakarta,,Indonesia,2010, 241.83 ,9.608,Af,f,A, 664 ,14469.6,3.85,100.00,56.22,5.61,66.21,4.96, 675 ," 163,299 "," 2,720 ",40.7,41.8,0.59,66.34,Yes
63,Jeddah,,Saudi Arabia,2015, 31.72 ,4.076,BWh,BW,h," 1,600 ",2547.5,5.60,100.00,40.30,5.59,71.16,3.02," 10,414 "," 330,310 "," 20,628 ",51.9,52.0,0.80,66.30,Yes
64,Kabul,,Afghanistan,2016, 35.38 ,3.700,Csb,s,Cb," 1,028 ",3598.4,8.04,100.00,89.16,11.16,53.21,2.52, 151 ," 5,329 ", 575 ,59.0,61.9,0.41,53.93,Yes
65,Baku,,Azerbaijan,2013, 9.42 ,2.374,BSk,BS,k," 2,140 ",1109.3,4.55,100.00,41.90,4.97,71.68,5.70," 2,339 "," 22,025 "," 5,426 ",30.9,44.3,0.67,72.41,Yes
66,Johannesburg,,South Africa,2017, 57.01 ,4.435,Cwb,w,Cb," 1,645 ",2696.0,3.36,100.00,63.01,27.04,65.63,5.22," 4,018 "," 229,073 "," 5,673 ",64.3,68.5,0.72,63.74,Yes
67,Chennai,,India,2016," 1,324.52 ",6.671,Aw,w,A," 1,189 ",5610.9,4.57,100.00,59.30,5.42,66.27,5.79," 1,008 "," 1,335,334 "," 1,719 ",47.7,52.3,0.54,60.07,Yes
68,Santo Domingo,,Dominican Republic,2013, 10.05 ,3.976,Am,m,A, 104 ,38084.4,3.48,100.00,73.18,7.35,64.31,6.22," 1,702 "," 17,103 "," 6,187 ",58.9,63.5,0.62,70.76,Yes
69,Caracas,,Venezuela,2010, 28.44 ,3.221,Aw,w,A, 433 ,7437.7,4.33,100.00,55.89,7.11,64.52,5.57," 3,961 "," 112,656 "," 13,825 ",39.0,43.4,0.67,59.32,Yes
70,Bogotá,,Colombia,2005, 42.65 ,6.840,Cfb,f,Cb," 1,587 ",4310.1,3.94,100.00,67.87,11.06,63.84,5.84," 1,118 "," 47,688 "," 4,403 ",53.2,58.4,0.57,70.56,Yes
71,Greater Hyderabad Municipal Corporation,,India,2011," 1,250.29 ",6.732,Aw,w,A, 650 ,10356.6,4.57,100.00,56.21,5.43,64.43,5.17, 739 ," 924,209 "," 1,293 ",45.4,48.5,0.49,60.07,Yes
72,Lagos,,Nigeria,2014, 176.40 ,9.000,Aw,w,A," 1,171 ",7685.7,4.90,100.00,71.75,4.56,53.05,2.75, 178 ," 31,330 "," 2,688 ",54.2,58.8,0.48,48.93,Yes
73,Kuala Lumpur,,Malaysia,2016, 30.68 ,6.837,Af,f,A, 243 ,28135.8,4.57,100.00,54.79,3.44,69.08,6.20," 5,041 "," 154,687 "," 10,258 ",52.5,52.7,0.72,70.88,Yes
74,Dar es Salaam,,Tanzania,2011, 45.67 ,4.365,Aw,w,A," 1,590 ",2745.0,4.93,100.00,68.46,3.47,52.62,2.50, 113 ," 5,177 ", 777 ,41.4,41.1,0.42,56.43,Yes
75,Dhaka,,Bangladesh,2005, 139.04 ,5.700,Aw,w,A, 306 ,18627.5,4.71,100.00,73.76,4.25,61.33,4.30, 185 ," 25,662 ", 769 ,52.9,52.6,0.39,63.45,Yes
76,Durban,,South Africa,2007, 49.12 ,2.739,Cfa,f,Ca, 226 ,12119.5,3.78,100.00,63.47,26.54,65.08,4.70," 4,910 "," 241,168 "," 5,539 ",62.8,67.1,0.66,63.74,Yes
77,Berlin,,Germany,2015, 81.69 ,3.563,Cfb,f,Cb, 866 ,4114.3,2.09,100.00,52.97,4.62,65.56,21.22," 6,781 "," 553,955 "," 41,087 ",62.2,69.2,0.93,82.48,Yes
78,Luanda,,Angola,2009, 22.51 ,4.508,BSh,BS,h, 113 ,39893.8,4.98,100.00,42.21,3.78,50.56,2.39, 200 ," 4,498 "," 3,963 ",49.0,41.7,0.40,50.30,Yes
79,Bengaluru,,India,2016," 1,324.52 ",8.444,Aw,w,A, 741 ,11395.0,4.57,100.00,59.30,5.42,66.27,5.79," 1,008 "," 1,335,334 "," 1,719 ",47.7,52.3,0.54,60.07,Yes
80,Cape Town,,South Africa,2012, 52.83 ,3.430,Csb,s,Cb, 400 ,8575.0,3.36,100.00,64.30,24.73,65.63,4.84," 4,432 "," 234,174 "," 5,692 ",64.3,67.2,0.69,63.74,Yes
81,Algiers,,Algeria,2016, 40.55 ,2.594,Csa,s,Ca, 363 ,7146.0,5.90,100.00,42.51,10.20,64.86,6.01," 1,573 "," 63,782 "," 4,224 ",49.3,50.6,0.66,70.86,Yes
82,Ahmedabad,,India,2016," 1,324.52 ",6.494,BSh,BS,h, 464 ,13996.1,4.57,100.00,59.30,5.42,66.27,5.79," 1,008 "," 1,335,334 "," 1,719 ",47.7,52.3,0.54,60.07,Yes
83,Abidjan,,Cote d'lvoire,2010, 20.53 ,4.150,Aw,w,A, 422 ,9834.1,5.09,100.00,65.78,6.84,53.52,2.86, 259 ," 5,321 "," 1,635 ",37.8,52.2,0.38,57.56,Yes
84,Yokohama,,Japan,2015, 127.14 ,3.730,Cfa,f,Ca, 437 ,8528.5,2.33,100.00,55.77,3.40,60.99,26.02," 8,029 "," 1,020,757 "," 34,961 ",69.8,69.7,0.84,79.85,Yes
85,Minsk,,Belarus,2016, 9.47 ,1.915,Dfb,f,Db, 349 ,5487.1,2.45,100.00,54.51,5.84,69.07,14.42," 3,644 "," 34,505 "," 5,792 ",48.5,55.1,0.84,78.82,Yes
86,Ulaanbaatar,,Mongolia,2015, 3.00 ,1.377,BSk,BS,k," 4,704 ",292.7,4.32,100.00,61.90,4.86,67.27,3.86," 2,035 "," 6,101 "," 3,919 ",46.2,51.7,0.75,63.79,Yes
87,Kyiv,,Ukraine,2016, 45.00 ,2.942,Dfb,f,Db, 839 ,3506.6,2.46,100.00,66.60,9.35,68.67,15.89," 3,255 "," 146,503 "," 2,904 ",49.9,60.2,0.79,75.51,Yes
88,Damascus,,Syrian Arab Republic,2016, 17.47 ,2.566,Csa,s,Ca, 105 ,24438.1,6.20,100.00,110.39,8.73,63.49,4.15, 919 ," 16,055 "," 2,807 ",49.7,49.3,0.41,58.01,Yes
89,Paris,,France,2015, 66.55 ,2.254,Cfb,f,Cb, 814 ,2769.4,2.22,100.00,54.05,10.35,62.77,18.88," 7,275 "," 484,152 "," 36,638 ",70.2,78.5,0.81,81.67,Yes
90,Bursa,,Turkey,2014, 77.23 ,2.765,Csa,s,Ca," 1,290 ",2143.3,4.07,100.00,60.37,9.88,66.43,7.70," 3,169 "," 244,706 "," 10,550 ",53.8,60.6,0.70,70.38,Yes
91,Vienna,,Austria,2013, 8.48 ,1.741,Cfb,f,Cb, 415 ,4195.8,2.27,100.00,53.66,5.33,67.27,18.47," 7,912 "," 67,089 "," 44,282 ",62.3,70.5,0.83,82.08,Yes
92,Abu Dhabi,,United Arab Emirates,2015, 9.26 ,1.145,BWh,BW,h, 972 ,1178.0,4.20,100.00,35.41,1.77,84.90,0.93," 13,270 "," 122,922 "," 38,663 ",55.4,55.4,0.74,70.17,Yes
93,Osaka,,Japan,2015, 127.14 ,2.680,Cfa,f,Ca, 225 ,11910.9,2.33,100.00,55.77,3.40,60.99,26.02," 8,029 "," 1,020,757 "," 34,961 ",69.8,69.7,0.84,79.85,Yes
94,Budapest,,Hungary,2014, 9.87 ,1.745,Cfb,f,Cb, 525 ,3323.2,2.44,100.00,50.11,7.73,68.42,17.11," 4,108 "," 40,531 "," 12,210 ",54.9,64.2,0.82,78.78,Yes
95,Amman,,Jordan,2015, 9.27 ,2.400,BSk,BS,k," 1,680 ",1428.6,4.72,100.00,79.61,13.08,60.27,3.76," 2,038 "," 18,890 "," 4,164 ",60.1,67.0,0.67,70.14,Yes
96,Quezon City,,Philippines,2014, 100.51 ,2.940,Am,m,A, 161 ,18260.9,4.23,100.00,71.27,3.60,62.86,4.49, 703 ," 70,649 "," 2,867 ",56.7,58.8,0.66,64.51,Yes
97,Toronto,,Canada,2016, 36.11 ,2.800,Dfb,f,Db, 630 ,4444.4,2.45,100.00,58.48,7.00,67.65,16.46," 16,074 "," 580,427 "," 43,537 ",68.0,72.1,0.88,79.16,Yes
98,Vancouver,,Canada,2014, 35.44 ,2.465,Cfb,f,Cb, 876 ,2814.0,2.45,100.00,55.80,6.91,68.32,15.62," 16,749 "," 593,525 "," 43,635 ",64.9,72.1,0.87,79.16,Yes
99,Kigali,,Rwanda,2012, 10.55 ,1.257,Aw,w,A, 738 ,1703.3,4.29,100.00,80.29,1.12,56.17,2.60, 43 , 457 , 669 ,48.8,55.1,0.44,57.58,Yes
100,Kampala,,Uganda,2014, 36.91 ,1.936,Af,f,A, 189 ,10243.4,4.93,100.00,69.03,1.91,49.86,1.88, 84 ," 3,088 ", 831 ,44.0,52.0,0.50,53.46,Yes
